preschool_name,fees_link,fees_sc_infant_care,fees_sc_playgroup,fees_sc_nursery,fees_sc_kindergarten,fees_pr_infant_care,fees_pr_playgroup,fees_pr_nursery,fees_pr_kindergarten,Within_Fees_Constraint,txt_file_opened,found_curriculum,curriculum_active_learning,curriculum_bilingual_curriculum,curriculum_child_directed,curriculum_chinese_curriculum,curriculum_early_years_development_framework,curriculum_english_curriculum,curriculum_ib_pyp,curriculum_inquiry_based,curriculum_integrated_curriculum,curriculum_montessori,curriculum_moe,curriculum_nurturing_early_learners_curriculum,curriculum_play_based_curriculum,curriculum_project_based,curriculum_reggio_emilia_approach,curriculum_spark_certified_curriculum,curriculum_thematic,curriculum_isteam,found_programme,programme_aesthetics_&_creative_expression,programme_chinese,programme_digital_skills,programme_discovery_of_the_word,programme_english,programme_language_and_literacy,programme_math,programme_moral_education,programme_motor_skill_development,programme_music,programme_nature,programme_numeracy,programme_problem-solving_skills,programme_project_work,programme_science,programme_sensory_play,programme_social_&_emotional_development,programme_speech_and_drama,programme_sports,found_levels,levels_infant_care,levels_playgroup,levels_nursery,levels_kindergarten,Within_Levels_Constraint
PCF Sparkletots Preschool @ Zhenghua Blk 455A (KN),https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PCF Sparkletots Preschool @ Zhenghua Blk 528 (KN),https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PCF Sparkletots Preschool @ Zhenghua Blk 620 (KN),https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PCF Sparkletots Preschool @ Zhenghua Blk 632A (CC),https://www.pcf.org.sg/sparkletots/services/childcare/,"1,346.15",741.2,741.2,741.2,"1,737.19",981.0,981.0,981.0,1,"https___www_pcf_org_sg_corporate_whistle_blowing_policy_, https___www_pcf_org_sg_corporate_events_, https___www_pcf_org_sg_corporate_senior_management_, https___www_pcf_org_sg_corporate_pcf_council_of_management_, https___www_pcf_org_sg_corporate_supporting_our_senior_, https___www_pcf_org_sg_corporate_privacy_policy_, https___www_pcf_org_sg_corporate_supporting_our_community_and_families_, https___www_pcf_org_sg_corporate_why_join_us_, https___www_pcf_org_sg_corporate_career_opportunities_, https___www_pcf_org_sg_corporate_careers_leader_childcare_kindergarten_, https___www_pcf_org_sg_corporate_supporting_our_children_, https___www_pcf_org_sg_corporate_staff_benefits_, https___www_pcf_org_sg_corporate_disclosure_and_transparency_, https___www_pcf_org_sg_corporate_our_work_the_spark_dreams_programme_, https___www_pcf_org_sg_corporate_our_work_school_readiness_pack_, https___www_pcf_org_sg_corporate_mid_careers_switch_programmes_, https___www_pcf_org_sg_corporate_looking_ahead_, https___www_pcf_org_sg_corporate_contact_us_, https___www_pcf_org_sg_corporate_our_work_annual_fund_raising_event_, https___www_pcf_org_sg_corporate_news_media_, https___www_pcf_org_sg_corporate_award_and_accreditation_, https___www_pcf_org_sg_corporate_careers_senior_nurse_, https___www_pcf_org_sg_corporate_volunteer_management_policy_, https___www_pcf_org_sg_corporate_executive_committee_, https___www_pcf_org_sg_corporate_sub_committees_, https___www_pcf_org_sg_corporate_our_milestones_, https___www_pcf_org_sg_corporate_careers_educational_psychologist_iet_, https___www_pcf_org_sg_corporate_pcf_charity_management_committee_, https___www_pcf_org_sg_corporate_our_work_sparkle_gift_of_love_, https___www_pcf_org_sg_corporate_employee_engagement_, https___www_pcf_org_sg_corporate_our_vision_, https___www_pcf_org_sg_corporate__, https___www_pcf_org_sg_corporate_annual_reports_, https___www_pcf_org_sg_corporate_our_mission_, https___www_pcf_org_sg_corporate_conflict_of_interest_","['bilingual_curriculum', 'chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'problem-solving skills', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Ang Mo Kio,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Bukit Batok,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Ghim Moh,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Holland Village,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Hougang,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Jurong West,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Pasir Ris 21,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Pasir Ris 51,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Tampines,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Woodlands,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
PPS Yishun,https://skoolopedia.com/app/childcare/presbyterian-community-services/pcs-woodlands-centre-730023,1388.85,777.6,777.6,777.6,1388.85,777.6,777.6,777.6,1,"https___www_presbypreschool_edu_sg_careers, https___www_presbypreschool_edu_sg_newsletters, https___www_presbypreschool_edu_sg_news, https___www_presbypreschool_edu_sg_post_theunremarkableworkofesp, https___www_presbypreschool_edu_sg_, https___www_presbypreschool_edu_sg_archive2023about, https___www_presbypreschool_edu_sg_people, https___www_presbypreschool_edu_sg_programme, https___www_presbypreschool_edu_sg_connect, https___www_presbypreschool_edu_sg_centres, https___www_presbypreschool_edu_sg_about","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,"['aesthetics & creative expression', 'chinese', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'music', 'project work', 'science', 'social & emotional development']",1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,"['infant_care', 'playgroup', 'nursery', 'kindergarten']",1,1,1,1,1
Shalom Kindergarten,https://preschooler.sg/profile/950/Shalom-Kindergarten,,433.0,426.0,416.0,,433.0,426.0,416.0,1,"https___www_shalomkindergarten_com_semester_and_fees_page, https___www_shalomkindergarten_com_pdpa, https___www_shalomkindergarten_com_happenings_blog_post_title_two_7fydn, https___www_shalomkindergarten_com_contact_us_2, https___www_shalomkindergarten_com_about_us, https___www_shalomkindergarten_com_general_enquiries_page, https___www_shalomkindergarten_com_happenings_page, https___www_shalomkindergarten_com_curriculum, https___www_shalomkindergarten_com_contact_us_3_page, https___www_shalomkindergarten_com_happenings_blog_post_title_one_wa5zm, https___www_shalomkindergarten_com_cart, https___www_shalomkindergarten_com_happenings, https___www_shalomkindergarten_com__page, https___www_shalomkindergarten_com_cart_page, https___www_shalomkindergarten_com_careers_page, https___www_shalomkindergarten_com_contact_us_3, https___www_shalomkindergarten_com_pdpa_page, https___www_shalomkindergarten_com_careers, https___www_shalomkindergarten_com_, https___www_shalomkindergarten_com_about_us_page, https___www_shalomkindergarten_com_our_centre_page, https___www_shalomkindergarten_com_semester_and_fees, https___www_shalomkindergarten_com_curriculum_page, https___www_shalomkindergarten_com_general_enquiries, https___www_shalomkindergarten_com_our_centre","['chinese_curriculum', 'early_years_development_framework', 'english_curriculum', 'integrated_curriculum', 'moe', 'nurturing_early_learners_curriculum', 'spark_certified_curriculum', 'thematic']",0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,"['aesthetics & creative expression', 'digital skills', 'discovery of the word', 'english', 'language and literacy', 'math', 'motor skill development', 'music', 'nature', 'numeracy', 'project work', 'science', 'social & emotional development']",1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,"['playgroup', 'nursery', 'kindergarten']",0,1,1,1,1
